folder,depth,speed,hairs,nodal,soilN,water,soilP,seed
DeFaFzMa_Perfect,Deep,Fast,Fuzzy,Many,HighN,WW,HighP,7777
DeFaFzMa_Drought,Deep,Fast,Fuzzy,Many,HighN,DR,HighP,7777
DeFaFzMa_LowN,Deep,Fast,Fuzzy,Many,LowN,WW,HighP,7777
DeFaFzMa_LowP,Deep,Fast,Fuzzy,Many,HighN,WW,LowP,7777
DeFaFzFe_Perfect,Deep,Fast,Fuzzy,Few,HighN,WW,HighP,7777
DeFaFzFe_Drought,Deep,Fast,Fuzzy,Few,HighN,DR,HighP,7777
DeFaFzFe_LowN,Deep,Fast,Fuzzy,Few,LowN,WW,HighP,7777
DeFaFzFe_LowP,Deep,Fast,Fuzzy,Few,HighN,WW,LowP,7777
DeFaBaMa_Perfect,Deep,Fast,Bald,Many,HighN,WW,HighP,7777
DeFaBaMa_Drought,Deep,Fast,Bald,Many,HighN,DR,HighP,7777
DeFaBaMa_LowN,Deep,Fast,Bald,Many,LowN,WW,HighP,7777
DeFaBaMa_LowP,Deep,Fast,Bald,Many,HighN,WW,LowP,7777
DeFaBaFe_Perfect,Deep,Fast,Bald,Few,HighN,WW,HighP,7777
DeFaBaFe_Drought,Deep,Fast,Bald,Few,HighN,DR,HighP,7777
DeFaBaFe_LowN,Deep,Fast,Bald,Few,LowN,WW,HighP,7777
DeFaBaFe_LowP,Deep,Fast,Bald,Few,HighN,WW,LowP,7777
DeStFzMa_Perfect,Deep,Steady,Fuzzy,Many,HighN,WW,HighP,7777
DeStFzMa_Drought,Deep,Steady,Fuzzy,Many,HighN,DR,HighP,7777
DeStFzMa_LowN,Deep,Steady,Fuzzy,Many,LowN,WW,HighP,7777
DeStFzMa_LowP,Deep,Steady,Fuzzy,Many,HighN,WW,LowP,7777
DeStFzFe_Perfect,Deep,Steady,Fuzzy,Few,HighN,WW,HighP,7777
DeStFzFe_Drought,Deep,Steady,Fuzzy,Few,HighN,DR,HighP,7777
DeStFzFe_LowN,Deep,Steady,Fuzzy,Few,LowN,WW,HighP,7777
DeStFzFe_LowP,Deep,Steady,Fuzzy,Few,HighN,WW,LowP,7777
DeStBaMa_Perfect,Deep,Steady,Bald,Many,HighN,WW,HighP,7777
DeStBaMa_Drought,Deep,Steady,Bald,Many,HighN,DR,HighP,7777
DeStBaMa_LowN,Deep,Steady,Bald,Many,LowN,WW,HighP,7777
DeStBaMa_LowP,Deep,Steady,Bald,Many,HighN,WW,LowP,7777
DeStBaFe_Perfect,Deep,Steady,Bald,Few,HighN,WW,HighP,7777
DeStBaFe_Drought,Deep,Steady,Bald,Few,HighN,DR,HighP,7777
DeStBaFe_LowN,Deep,Steady,Bald,Few,LowN,WW,HighP,7777
DeStBaFe_LowP,Deep,Steady,Bald,Few,HighN,WW,LowP,7777
ShFaFzMa_Perfect,Shallow,Fast,Fuzzy,Many,HighN,WW,HighP,7777
ShFaFzMa_Drought,Shallow,Fast,Fuzzy,Many,HighN,DR,HighP,7777
ShFaFzMa_LowN,Shallow,Fast,Fuzzy,Many,LowN,WW,HighP,7777
ShFaFzMa_LowP,Shallow,Fast,Fuzzy,Many,HighN,WW,LowP,7777
ShFaFzFe_Perfect,Shallow,Fast,Fuzzy,Few,HighN,WW,HighP,7777
ShFaFzFe_Drought,Shallow,Fast,Fuzzy,Few,HighN,DR,HighP,7777
ShFaFzFe_LowN,Shallow,Fast,Fuzzy,Few,LowN,WW,HighP,7777
ShFaFzFe_LowP,Shallow,Fast,Fuzzy,Few,HighN,WW,LowP,7777
ShFaBaMa_Perfect,Shallow,Fast,Bald,Many,HighN,WW,HighP,7777
ShFaBaMa_Drought,Shallow,Fast,Bald,Many,HighN,DR,HighP,7777
ShFaBaMa_LowN,Shallow,Fast,Bald,Many,LowN,WW,HighP,7777
ShFaBaMa_LowP,Shallow,Fast,Bald,Many,HighN,WW,LowP,7777
ShFaBaFe_Perfect,Shallow,Fast,Bald,Few,HighN,WW,HighP,7777
ShFaBaFe_Drought,Shallow,Fast,Bald,Few,HighN,DR,HighP,7777
ShFaBaFe_LowN,Shallow,Fast,Bald,Few,LowN,WW,HighP,7777
ShFaBaFe_LowP,Shallow,Fast,Bald,Few,HighN,WW,LowP,7777
ShStFzMa_Perfect,Shallow,Steady,Fuzzy,Many,HighN,WW,HighP,7777
ShStFzMa_Drought,Shallow,Steady,Fuzzy,Many,HighN,DR,HighP,7777
ShStFzMa_LowN,Shallow,Steady,Fuzzy,Many,LowN,WW,HighP,7777
ShStFzMa_LowP,Shallow,Steady,Fuzzy,Many,HighN,WW,LowP,7777
ShStFzFe_Perfect,Shallow,Steady,Fuzzy,Few,HighN,WW,HighP,7777
ShStFzFe_Drought,Shallow,Steady,Fuzzy,Few,HighN,DR,HighP,7777
ShStFzFe_LowN,Shallow,Steady,Fuzzy,Few,LowN,WW,HighP,7777
ShStFzFe_LowP,Shallow,Steady,Fuzzy,Few,HighN,WW,LowP,7777
ShStBaMa_Perfect,Shallow,Steady,Bald,Many,HighN,WW,HighP,7777
ShStBaMa_Drought,Shallow,Steady,Bald,Many,HighN,DR,HighP,7777
ShStBaMa_LowN,Shallow,Steady,Bald,Many,LowN,WW,HighP,7777
ShStBaMa_LowP,Shallow,Steady,Bald,Many,HighN,WW,LowP,7777
ShStBaFe_Perfect,Shallow,Steady,Bald,Few,HighN,WW,HighP,7777
ShStBaFe_Drought,Shallow,Steady,Bald,Few,HighN,DR,HighP,7777
ShStBaFe_LowN,Shallow,Steady,Bald,Few,LowN,WW,HighP,7777
ShStBaFe_LowP,Shallow,Steady,Bald,Few,HighN,WW,LowP,7777
